name,color
Fartooth,#908A85
Ashlock,#9E958A
Saileach,#AFC7C2
Mulberry,#4860D1
Roberta,#A18485
Ch'en The Holungday,#09CEFE
Mizuki,#D4DA6D
La Pluma,#A3A6B5
Tequila,#5399C3
Pallas,#B7A89D
Carnelian,#C21818
Kirara,#F6D6D8
Bena,#55B7A8
Indigo,#D694F2
Skadi the Corrupting Heart,#E94752
Kal'tsit,#FBF76A
Gladiia,#B90319
Akafuyu,#BF9164
Passenger,#BE887C
Toddifons,#E5AA41
Heavyrain,#D6D6D6
Ash,#915D4B
Frost,#A5ADBE
Blitz,#C8B7AC
Tachanka,#505B3F
Dusk,#3B908E
Saga,#393D5B
Lava the Purgatory,#90597E
Mr.Nothing,#921614
Tuye,#F9E2B3
Archetto,#F6C38E
Iris,#6EC9E3
Beanstalk,#EDD02F
Mountain,#C1B9B8
Mudrock,#AB6262
Rosmontis,#3A5BCC
Blemishine,#D1B199
Surtr,#B5393A
Eunectes,#F7E048
Thorns,#A0621A
Suzuran,#ECDDBB
Rosa (Poca),#6EB1C0
Weedy,#D8CFCF
W,#EC212A
Phantom,#60738C
Bagpipe,#D9754F
Ceobe,#E2B075
Nian,#F53F22
Aak,#FF8A5C
Blaze,#D4495D
Mostima,#1D389C
Magallan,#EDCF6C
Hellagur,#F8D65F
Schwarz,#75757E
Ch'en,#616CAD
Skadi,#2B8EC0
SilverAsh,#01BCDE
Saria,#826961
Hoshiguma,#5CAF96
Nightingale,#FFEFCD
Shining,#FFF8EF
Angelina,#CFA595
Eyjafjalla,#B39A92
Ifrit,#E26B27
Siege,#BB9A50
Exusiai,#8C314A
Robin,#857D6C
Kafka,#4BC2A1
Amiya (Guard),#F40E24
Whisperain,#9999B6
Aosta,#B4B3A3
Whislash,#FAD7B0
April,#FF6161
Mint,#E6DEDE
Flint,#69867F
Tomimi,#E9E9EB
Andreana,#764F78
Chiave,#F15714
Beeswax,#FDF28D
Scene,#DBFC03
Ayerscarpe,#F09034
Folinic,#AE8D87
Leonhardt,#F1F158
Absinthe,#883141
Tsukinogi,#1B1B33
Asbestos,#716C81
Elysium,#8B0601
Shamare,#D57798
Sideroca,#53AAC0
Sesa,#B63017
Bibeak,#4F5B84
Leizi,#EBD08D
Hung,#D93B0B
Snowsant,#6B5737
GreyThroat,#9FA988
Broca,#9E7F56
Reed,#8AB0A0
Bison,#B78E71
Waai Fu,#F37E19
Ceylon,#E9CAC4
Flamebringer,#426278
Breeze,#E4CDA2
Executor,#E1CDC4
Astesia,#5691A7
Glaucus,#223BC0
Swire,#B98254
Grani,#B3B3AB
Nightmare,#FDE5AB
Savage,#B8B8B8
FEater,#7D868E
Manticore,#C381EC
Sora,#EAC16E
Istina,#ABC4C4
Pramanix,#95CEE7
Cliffheart,#21CBDC
Firewatch,#D6CEBE
Provence,#D1D1F2
Vulcan,#AA9A92
Croissant,#DD8855
Liskarm,#5A7CC0
Projekt Red,#C43740
Nearl,#EDCC9A
Warfarin,#E7DFDF
Silence,#DEC594
Mayer,#FD8A50
Skyfire,#CD8934
Amiya,#4082AB
Meteorite,#BA9168
Platinum,#FFFFF2
Blue Poison,#7798C1
Specter,#3B333B
Lappland,#D5D5CD
Indra,#BA9843
Franka,#8A5850
Texas,#6A6A7B
Zima,#86766D
Ptilopsis,#F57E29
Pinecone,#F9CCB2
Bubble,#956356
Arene,#D8E88F
Aciddrop,#B1805E
Jaye,#BFBFBF
Click,#D6D547
Podenco,#E2D2B9
Jackie,#A87645
Cutter,#C12E35
Conviction,#031D93
Utage,#E98BE3
Purestream,#C79E9D
Ambriel,#E7C0C6
May,#ACCDC5
Ethan,#03F0EB
Dur-nar,#835B6A
Vermeil,#EB704F
Myrtle,#984545
Sussurro,#FAE1D9
Greyy,#C39B82
Beehunter,#FFE954
Shaw,#AC8A79
Earthspirit,#EEBDB4
Deepcolor,#D3E418
Gummy,#ED7632
Cuora,#A78E7E
Matterhorn,#736363
Perfumer,#D85000
Gavial,#718261
Myrrh,#E1756D
Rope,#8C7CAD
Gravel,#EBA9A1
Mousse,#F5B382
Estelle,#2B335C
Frostleaf,#D6BDBD
Matoimaru,#ED5443
Dobermann,#2A2A3B
Vigna,#BA363E
Scavenger,#E6DEDE
Courier,#AD1008
Shirayuki,#E6EEEE
Meteor,#24F09B
Jessica,#678035
Gitano,#732031
Haze,#FFB73C
Spot,#330BBE
Popukar,#B84B67
Midnight,#F0AECF
Catapult,#F21C1C
Orchid,#142D77
Steward,#8798DC
Ansel,#DB5770
Hibiscus,#B17FC1
Lava,#C85C9E
Adnachiel,#FAB683
Kroos,#EAA86E
Beagle,#E56948
Cardigan,#BD30C4
Melantha,#55344C
Plume,#D3892E
Vanilla,#EECD9C
Fang,#5A6B8C
12F,#FFD318
Durin,#FFF3D2
Rangers,#0894D6
Noir Corne,#0863A5
Yato,#37AADC
THRM-EX,#8E4A17
Castle-3,#78705F
Lancet-2,#9D9D94
